Stato,AbbStato,Somma di Popolazione,Capitale
,AR,3011524,Little Rock
Alabama,AL,5024279,Montgomery
Alaska,AK,733391,Juneau
Arizona,AZ,7151502,Phoenix
California,CA,39538223,Sacramento
Colorado,CO,5773714,
Connecticut,CT,3605944,Hartford
Delaware,DE,989948,Dover
Florida,FL,21538187,Tallahassee
Georgia,GA,10711908,Atlanta
Hawaii,HI,1455271,
Idaho,ID,1839106,Boise
Illinois,IL,12812508,Springfield
Indiana,IN,6785528,Indianapolis
Iowa,IA,3190369,Des Moines
Kansas,KS,2937880,Topeka
Kentucky,KY,4505836,Frankfort
Louisiana,LA,4657757,Baton Rouge
Maine,ME,1362359,Augusta
Maryland,MD,6177224,Annapolis
Massachusetts,MA,7029917,Boston
Michigan,MI,10077331,Lansing
Minnesota,MN,5706494,Saint Paul
Mississippi,MS,2961279,Jackson
Missouri,MO,6154913,Jefferson City
Montana,MT,1084225,Helena
Nebraska,,1961504,Lincoln
Nebraska,NE,1961504,Lincoln
Nevada,NV,3104614,Carson City
Ohio,OH,11799448,Columbus
Oklahoma,OK,3959353,Oklahoma City
Oregon,OR,4237256,Salem
Pennsylvania,PA,13002700,Harrisburg
Tennessee,TN,6910840,Nashville
Texas,TX,29145505,Austin
Utah,UT,3271616,Salt Lake City
Vermont,VT,643077,Montpelier
Virginia,VA,10425109,Richmond
Washington,WA,7705281,Olympia
Wisconsin,WI,5893718,Madison
Wyoming,WY,576851,Cheyenne
